date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.06,0.06,0.06,0.06,0,0.06
20140113,0,0.06,0.06,0.06,0.06,0,0.06
20140110,0,0.06,0.06,0.06,0.06,0,0.06
20140109,0,0.06,0.06,0.06,0.06,0,0.06
20140108,0,0.06,0.06,0.06,0.06,0,0.06
20140107,0,0.06,0.06,0.06,0.06,0,0.06
20140106,0,0.06,0.06,0.06,0.06,0,0.06
20140103,0,0.06,0.06,0.06,0.06,0,0.06
20140102,0,0.06,0.06,0.06,0.06,0,0.06
20131231,0,0.06,0.06,0.06,0.06,0,0.06
20131230,0,0.06,0.06,0.06,0.06,0,0.06
20131227,0,0.06,0.06,0.06,0.06,0,0.06
20131226,0,0.06,0.06,0.06,0.06,0,0.06
20131224,0,0.06,0.06,0.06,0.06,0,0.06
20131223,0,0.06,0.06,0.06,0.06,0,0.06
20131220,0,0.06,0.06,0.06,0.06,0,0.06
20131219,0,0.06,0.06,0.06,0.06,0,0.06
20131218,0,0.06,0.06,0.06,0.06,0,0.06
20131217,0,0.06,0.06,0.06,0.06,1000,0.06
20131216,0,0.06,0.06,0.06,0.06,0,0.06
20131213,0,0.06,0.06,0.06,0.06,0,0.06
20131212,0,0.06,0.06,0.06,0.06,0,0.06
20131211,0,0.06,0.06,0.06,0.06,0,0.06
20131210,0,0.06,0.06,0.06,0.06,0,0.06
20131209,0,0.06,0.06,0.06,0.06,0,0.06
20131206,0,0.06,0.06,0.06,0.06,0,0.06
20131205,0,0.06,0.06,0.06,0.06,0,0.06
20131204,0,0.06,0.06,0.06,0.06,0,0.06
20131203,0,0.06,0.06,0.06,0.06,0,0.06
20131202,0,0.06,0.06,0.06,0.06,0,0.06
20131129,0,0.06,0.06,0.06,0.06,0,0.06
20131127,0,0.06,0.06,0.06,0.06,0,0.06
20131126,0,0.06,0.06,0.06,0.06,0,0.06
20131125,0,0.06,0.06,0.06,0.06,0,0.06
20131122,0,0.06,0.06,0.06,0.06,0,0.06
20131121,0,0.06,0.06,0.06,0.06,0,0.06
20131120,0,0.06,0.06,0.06,0.06,0,0.06
20131119,0,0.06,0.06,0.06,0.06,0,0.06
20131118,0,0.06,0.06,0.06,0.06,0,0.06
20131115,0,0.06,0.06,0.06,0.06,0,0.06
20131114,0,0.06,0.06,0.06,0.06,0,0.06
20131113,0,0.06,0.06,0.06,0.06,0,0.06
20131112,0,0.06,0.06,0.06,0.06,0,0.06
20131111,0,0.06,0.06,0.06,0.06,0,0.06
20131108,0,0.06,0.06,0.06,0.06,15500,0.06
20131107,0,0.06,0.06,0.06,0.06,0,0.06
20131106,0,0.06,0.06,0.06,0.06,0,0.06
20131105,0,0.06,0.06,0.06,0.06,0,0.06
